Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
leash.tube,available,90,7%,5,"General,Health and Fitness,Retail",,,
additional.tube,available,90,8%,10,"Fashion,Retail,Technology",,,
riveting.tube,available,90,6%,8,"Entertainment,Media,Technology",,,
adoring.tube,available,90,2%,7,"Entertainment,Fashion,Retail",,,
endearing.tube,available,90,1%,9,"Entertainment,Fashion,Retail",,,
abortive.tube,available,90,1%,8,"Medicine,Science",,,
gripping.tube,available,90,3%,8,"Entertainment,Media,Technology",,,
addictive.tube,available,90,9%,9,Healthcare,,,
activist.tube,available,88,12%,8,"Humanities,Politics",,,
proficient.tube,available,88,8%,10,"Education,Health and Fitness,Sports",,,
adlib.tube,available,88,7%,6,Entertainment,,,
eleven.tube,available,88,33%,6,Mathematics,,,
fifteen.tube,available,88,13%,7,Mathematics,,,
twelve.tube,available,88,18%,6,"General,Mathematics",,,
hundred.tube,available,88,14%,7,Mathematics,,,
actionable.tube,available,88,13%,10,"Business,Law",,,
wide.tube,available,88,18%,4,"Business,Media,Technology",,,
sixteen.tube,available,88,11%,7,Mathematics,,,
extempore.tube,available,86,3%,9,Entertainment,,,
adolescent.tube,available,86,3%,10,"Education,Entertainment,Healthcare",,,
xix.tube,available,86,11%,3,Mathematics,,,
aboriginal.tube,available,86,10%,10,Humanities,,,
cipher.tube,available,86,29%,6,Mathematics,,,
xiv.tube,available,86,12%,3,Mathematics,,,
engrossing.tube,available,86,0%,10,"Entertainment,Media,Technology",,,
attendant.tube,available,86,5%,9,"Healthcare,Hospitality,Transportation",,,
recondite.tube,available,86,4%,9,"Arts,Humanities,Science",,,
grand.tube,available,84,25%,5,"Finance,General",,,
deviate.tube,available,84,12%,7,"Medicine,Science",,,
nineteen.tube,available,84,8%,8,Mathematics,,,
fourteen.tube,available,84,8%,8,Mathematics,,,
adjustable.tube,available,84,3%,10,"Manufacturing,Retail,Technology",,,
acting.tube,available,84,12%,6,Entertainment,,,
twentyone.tube,available,84,13%,10,Mathematics,,,
accessory.tube,available,84,8%,9,"Fashion,Retail,Technology",,,
sharp.tube,available,84,34%,5,"Arts,Fashion",,,
thirteen.tube,available,84,10%,8,Mathematics,,,
thousand.tube,available,84,8%,8,Mathematics,,,
twentytwo.tube,available,84,11%,10,Mathematics,,,
decade.tube,available,82,10%,6,Mathematics,,,
altered.tube,available,82,9%,7,"Medicine,Science",,,
abroach.tube,available,82,1%,7,Food and Beverage,,,
absorbent.tube,available,82,3%,9,"Healthcare,Manufacturing,Retail",,,
dozen.tube,available,82,10%,5,Mathematics,,,
abdominal.tube,available,82,1%,9,"Health and Fitness,Medicine",,,
cleansing.tube,available,82,3%,9,Health and Fitness,,,
enduring.tube,available,82,9%,8,"Health and Fitness,Religion",,,
abenaki.tube,available,82,2%,7,Geography,,,
fivesome.tube,available,82,1%,8,Sports,,,
abkhaz.tube,available,82,1%,6,Geography,,,
impromptu.tube,available,82,16%,9,Entertainment,,,
abundant.tube,available,80,19%,8,"Agriculture,Manufacturing,Retail",,,
yard.tube,available,80,26%,4,"Construction,General",,,
absurd.tube,available,80,16%,6,"Arts,Entertainment,Media",,,
adoptable.tube,available,80,3%,9,"Education,Healthcare",,,
absorbable.tube,available,80,0%,10,"Healthcare,Pharmaceuticals,Science",,,
seventh.tube,available,80,10%,7,Mathematics,,,
trio.tube,available,80,21%,4,Entertainment,,,
forty.tube,available,80,9%,5,Mathematics,,,
absolute.tube,available,80,25%,8,"Engineering,Mathematics,Science",,,
capable.tube,available,80,12%,7,"Business,Education,Technology",,,
superstar.tube,available,80,18%,9,Entertainment,,,
able.tube,available,80,29%,4,"Business,Education,General,Technology",,,
twenty.tube,available,80,12%,6,Mathematics,,,
dorsal.tube,available,80,6%,6,"Medicine,Science",,,
worshipful.tube,available,80,1%,10,"Education,Healthcare,Religion",,,
sequent.tube,available,80,7%,7,"Healthcare,Insurance,Transportation",,,
dormant.tube,available,78,4%,7,"Medicine,Science",,,
accidental.tube,available,78,11%,10,"Healthcare,Insurance,Transportation",,,
accepted.tube,available,78,6%,8,"Business,Education,Technology",,,
abounding.tube,available,78,2%,9,Agriculture,,,
acceptant.tube,available,78,1%,9,"Education,Healthcare",,,
adrenal.tube,available,78,4%,7,"Education,Healthcare,Science",,,
accurate.tube,available,78,16%,8,"Engineering,Mathematics,Science",,,
adjacent.tube,available,78,9%,8,"Construction,Real Estate,Retail",,,
abkhasian.tube,available,78,1%,9,Geography,,,
twentysix.tube,available,78,8%,10,Mathematics,,,
acceptable.tube,available,78,5%,10,"Business,Hospitality,Retail",,,
abkhazian.tube,available,78,1%,9,Geography,,,
adorable.tube,available,78,8%,8,"Entertainment,Fashion,Retail",,,
low.tube,available,78,20%,3,"Business,Finance",,,
honestly.tube,available,78,9%,8,"Business,Law",,,
accessible.tube,available,78,21%,10,"Healthcare,Retail,Technology",,,
absorptive.tube,available,78,1%,10,"Healthcare,Manufacturing,Retail",,,
sixtynine.tube,available,78,8%,10,Mathematics,,,
recognised.tube,available,78,3%,10,"Business,Education,Technology",,,
recognized.tube,available,78,3%,10,"Business,Education,Technology",,,
adaptive.tube,available,76,28%,8,"Business,Education,Technology",,,
adherent.tube,available,76,4%,8,"Politics,Religion",,,
threed.tube,available,76,7%,7,Technology,,,
improvise.tube,available,76,4%,9,Entertainment,,,
adhesive.tube,available,76,7%,8,"Construction,Manufacturing,Technology",,,
addable.tube,available,76,2%,7,"Engineering,Mathematics,Science",,,
fourteenth.tube,available,76,1%,10,Mathematics,,,
hundredth.tube,available,76,1%,9,Mathematics,,,
thirteenth.tube,available,76,4%,10,Mathematics,,,
energizing.tube,available,76,3%,10,"Food and Beverage,Health and Fitness,Travel",,,
nineteenth.tube,available,76,3%,10,Mathematics,,,
adipose.tube,available,76,2%,7,"Healthcare,Science",,,
abrasive.tube,available,76,6%,8,"Construction,Manufacturing",,,
fifteenth.tube,available,76,2%,9,Mathematics,,,
ancillary.tube,available,76,6%,9,"Healthcare,Manufacturing,Technology",,,
acoustic.tube,available,76,14%,8,Science,,,
resultant.tube,available,76,2%,9,"Healthcare,Insurance,Transportation",,,
thousandth.tube,available,76,1%,10,Mathematics,,,
eighteen.tube,available,76,7%,8,Mathematics,,,
obscene.tube,available,76,5%,7,"Entertainment,Media",,,
auxiliary.tube,available,76,7%,9,"Healthcare,Manufacturing,Technology",,,
ventral.tube,available,76,3%,7,Science,,,
ague.tube,available,76,2%,4,"Geography,Medicine,Science",,,
adaptable.tube,available,76,9%,9,"Business,Education,Technology",,,
firstrate.tube,available,76,6%,10,Business,,,
incidental.tube,available,76,4%,10,"Healthcare,Insurance,Transportation",,,
adapted.tube,available,74,6%,7,"Healthcare,Manufacturing,Technology",,,
aberrant.tube,available,74,6%,8,"Medicine,Science",,,
manageable.tube,available,74,4%,10,"Business,Education,Technology",,,
accepting.tube,available,74,3%,9,"Education,Healthcare",,,
acuate.tube,available,74,2%,6,"Engineering,Medicine,Science",,,
playing.tube,available,74,12%,7,Entertainment,,,
activated.tube,available,74,9%,9,"Healthcare,Manufacturing,Technology",,,
abnormal.tube,available,74,16%,8,"Medicine,Science",,,
adamant.tube,available,74,14%,7,Religion,,,
sensation.tube,available,74,7%,9,"Entertainment,Media,Sports",,,
adenoid.tube,available,74,1%,7,"Health and Fitness,Medicine,Science",,,
skilful.tube,available,74,3%,7,"Education,Health and Fitness,Sports",,,
single.tube,available,74,19%,6,Sports,,,
realizable.tube,available,74,1%,10,"Business,Education,Technology",,,
achievable.tube,available,74,4%,10,"Business,Education,Technology",,,
admirable.tube,available,74,5%,9,"Business,Education,Healthcare",,,
cleared.tube,available,74,7%,7,"Healthcare,Law,Transportation",,,
adrenergic.tube,available,74,1%,10,"Education,Healthcare,Science",,,
mavin.tube,available,74,7%,5,"Entertainment,Fashion,Technology",,,
broad.tube,available,74,13%,5,"Entertainment,General,Media",,,
abreast.tube,available,72,2%,7,"Business,Technology",,,
adiabatic.tube,available,72,3%,9,"Engineering,Science",,,
accusative.tube,available,72,0%,10,"Humanities,Law",,,
ninetieth.tube,available,72,1%,9,Mathematics,,,
trey.tube,available,72,14%,4,Sports,,,
adonic.tube,available,72,2%,6,"Arts,Education,Entertainment",,,
engrossed.tube,available,72,1%,9,"Entertainment,Media,Technology",,,
ternary.tube,available,72,7%,7,Mathematics,,,
adaptative.tube,available,72,1%,10,"Business,Education,Technology",,,
absolutist.tube,available,72,1%,10,"Humanities,Law,Politics",,,
absorbed.tube,available,72,2%,8,"Entertainment,Media,Technology",,,
abloom.tube,available,72,5%,6,Agriculture,,,
sixtieth.tube,available,72,1%,8,Mathematics,,,
aching.tube,available,72,4%,6,Healthcare,,,
trinity.tube,available,72,18%,7,Religion,,,
liv.tube,available,72,27%,3,Mathematics,,,
addicted.tube,available,72,9%,8,Healthcare,,,
adjunctive.tube,available,72,1%,10,"Healthcare,Manufacturing,Technology",,,
lovely.tube,available,72,26%,6,"Entertainment,Fashion,Retail",,,
ablaze.tube,available,72,6%,6,Entertainment,,,
existent.tube,available,72,3%,8,"Mathematics,Science",,,
accustomed.tube,available,72,1%,10,"Business,Education,Humanities",,,
eightieth.tube,available,72,1%,9,Mathematics,,,
adjectival.tube,available,72,1%,10,Education,,,
seventieth.tube,available,72,1%,10,Mathematics,,,
improvize.tube,available,72,1%,9,Entertainment,,,
abulic.tube,available,70,1%,6,Medicine,,,
lowdown.tube,available,70,6%,8,"Entertainment,Media",,,
practiced.tube,available,70,3%,9,"Education,Health and Fitness,Sports",,,
skillful.tube,available,70,9%,8,"Education,Health and Fitness,Sports",,,
abradant.tube,available,70,1%,8,"Construction,Manufacturing",,,
adored.tube,available,70,6%,6,"Entertainment,Fashion,Retail",,,
unity.tube,available,70,40%,5,Mathematics,,,
stillborn.tube,available,70,2%,9,"Medicine,Science",,,
adamantine.tube,available,70,4%,10,Religion,,,
offhand.tube,available,70,2%,7,Entertainment,,,
absorbing.tube,available,70,3%,9,"Entertainment,Media,Technology",,,
gymnastic.tube,available,70,3%,9,"Entertainment,Sports",,,
acuminate.tube,available,70,1%,9,"Engineering,Medicine,Science",,,
tiptop.tube,available,70,24%,6,Fashion,,,
admired.tube,available,70,5%,7,"Business,Education,Healthcare",,,
consequent.tube,available,70,3%,10,"Business,Education,General,Technology",,,
miserable.tube,available,70,4%,9,Humanities,,,
accumbent.tube,available,70,1%,9,"Healthcare,Medicine,Science",,,
adjusted.tube,available,70,5%,8,"Manufacturing,Retail,Technology",,,
recumbent.tube,available,70,2%,9,"Healthcare,Medicine,Science",,,
stygian.tube,available,68,5%,7,Humanities,,,
aberdonian.tube,available,68,1%,10,Geography,,,
licenced.tube,available,68,2%,8,"Business,Healthcare,Insurance",,,
foursome.tube,available,68,4%,8,Sports,,,
octonary.tube,available,68,1%,8,Mathematics,,,
sevener.tube,available,68,1%,7,Mathematics,,,
aroused.tube,available,68,3%,7,"Entertainment,Health and Fitness",,,
accredited.tube,available,68,9%,10,"Business,Education,Healthcare",,,
vindicated.tube,available,68,2%,10,"Humanities,Law,Politics",,,
septenary.tube,available,68,1%,9,Mathematics,,,
abnaki.tube,available,68,1%,6,Geography,,,
disciple.tube,available,68,14%,8,"Education,Religion",,,
licensed.tube,available,68,5%,8,"Business,Healthcare,Insurance",,,
fiftieth.tube,available,68,0%,8,Mathematics,,,
ane.tube,available,68,12%,3,Mathematics,,,
achaean.tube,available,68,2%,7,Humanities,,,
ennead.tube,available,68,5%,6,Mathematics,,,
threesome.tube,available,68,5%,9,Entertainment,,,
ablative.tube,available,68,3%,8,Science,,,
abkhas.tube,available,68,0%,6,Geography,,,
abducent.tube,available,68,0%,8,Medicine,,,
activating.tube,available,68,3%,10,"Healthcare,Manufacturing,Technology",,,
overseas.tube,available,68,12%,8,"Hospitality,Travel",,,
decorated.tube,available,68,3%,9,"Entertainment,Fashion,Retail",,,
thirtieth.tube,available,68,1%,9,Mathematics,,,
aculeate.tube,available,68,1%,8,"Engineering,Medicine,Science",,,
fortieth.tube,available,68,0%,8,Mathematics,,,
acerate.tube,available,68,1%,7,Science,,,
achaian.tube,available,68,2%,7,Humanities,,,
scurvy.tube,available,68,3%,6,Humanities,,,
thirty.tube,available,66,8%,6,Mathematics,,,
acappella.tube,available,66,6%,10,Entertainment,,,
xiii.tube,available,66,9%,4,Mathematics,,,
accessary.tube,available,66,1%,9,"Business,Law,Technology",,,
sextet.tube,available,66,1%,6,Entertainment,,,
xvi.tube,available,66,5%,3,Mathematics,,,
xxv.tube,available,66,6%,3,Mathematics,,,
xviii.tube,available,66,5%,5,Mathematics,,,
exonerated.tube,available,66,2%,10,"Humanities,Law,Politics",,,
modish.tube,available,66,5%,6,Fashion,,,
teenager.tube,available,66,4%,8,"Education,Entertainment,Healthcare",,,
xxvi.tube,available,66,3%,4,Mathematics,,,
fifty.tube,available,66,12%,5,Mathematics,,,
xii.tube,available,66,10%,3,Mathematics,,,
maven.tube,available,66,30%,5,"Entertainment,Fashion,Technology",,,
onec.tube,available,66,6%,5,Mathematics,,,
clv.tube,available,66,10%,3,Mathematics,,,
buzzing.tube,available,66,7%,7,"Entertainment,Media,Technology",,,
eighty.tube,available,66,6%,6,Mathematics,,,
deuce.tube,available,66,9%,5,Sports,,,
xvii.tube,available,66,5%,4,Mathematics,,,
acervate.tube,available,66,1%,8,Science,,,
acrobatic.tube,available,66,4%,9,"Entertainment,Sports",,,
xxii.tube,available,66,6%,4,Mathematics,,,
according.tube,available,66,3%,9,"Business,Education,Technology",,,
adorned.tube,available,66,5%,7,"Entertainment,Fashion,Retail",,,
ninety.tube,available,66,11%,6,Mathematics,,,
adopted.tube,available,66,4%,7,"Education,Healthcare",,,
century.tube,available,66,17%,7,Education,,,
xxi.tube,available,66,10%,3,Mathematics,,,
abstinent.tube,available,66,1%,9,"Health and Fitness,Religion",,,
tenner.tube,available,66,5%,6,Finance,,,
performing.tube,available,66,6%,10,Entertainment,,,
accordant.tube,available,64,3%,9,"Arts,Entertainment",,,
absolved.tube,available,64,1%,8,"Humanities,Law,Religion",,,
nondrinker.tube,available,64,1%,10,"Health and Fitness,Religion",,,
adagio.tube,available,64,14%,6,Entertainment,,,
aflame.tube,available,64,3%,6,Entertainment,,,
rising.tube,available,64,18%,6,"Construction,Manufacturing,Real Estate",,,
deviant.tube,available,64,12%,7,"Medicine,Science",,,
astringent.tube,available,64,1%,10,"Healthcare,Pharmaceuticals",,,
acentric.tube,available,64,2%,8,Science,,,
scatty.tube,available,64,1%,6,"Arts,Entertainment,Media",,,
troika.tube,available,62,8%,6,Politics,,,
admissible.tube,available,62,1%,10,"Education,Healthcare,Law",,,
ensuant.tube,available,62,1%,7,"Healthcare,Insurance,Transportation",,,
aborigine.tube,available,62,1%,9,Humanities,,,
quartet.tube,available,62,7%,7,"Arts,Entertainment",,,
activation.tube,available,62,16%,10,"Healthcare,Manufacturing,Technology",,,
acidic.tube,available,62,5%,6,"Food and Beverage,Science",,,
accrued.tube,available,62,2%,7,"Banking,Finance,Insurance",,,
playacting.tube,available,62,1%,10,Entertainment,,,
pungent.tube,available,62,1%,7,Food and Beverage,,,
sixteenth.tube,available,62,1%,9,Mathematics,,,
adoptive.tube,available,62,1%,8,"Education,Healthcare",,,
cumulative.tube,available,62,2%,10,"Banking,Finance,Insurance",,,
chiliad.tube,available,62,2%,7,Mathematics,,,
wrapped.tube,available,62,13%,7,"Fashion,Hospitality,Retail",,,
nail.tube,available,62,16%,4,"Construction,Fashion,General,Retail",,,
accusing.tube,available,62,1%,8,Law,,,
eleventh.tube,available,62,5%,8,Mathematics,,,
fortyfour.tube,available,62,6%,10,Mathematics,,,
exculpated.tube,available,62,1%,10,"Humanities,Law,Politics",,,
adjuvant.tube,available,62,5%,8,"Healthcare,Manufacturing,Technology",,,
abo.tube,available,62,15%,3,Science,,,
activistic.tube,available,62,1%,10,"Humanities,Politics",,,
roughly.tube,available,62,3%,7,"Business,Media,Technology",,,
twodozen.tube,available,62,1%,9,Mathematics,,,
aufait.tube,available,62,3%,7,"Fashion,Media",,,
eighteenth.tube,available,62,1%,10,Mathematics,,,
orso.tube,available,62,9%,5,"Business,Media,Technology",,,
longdozen.tube,available,62,2%,10,Mathematics,,,
abstainer.tube,available,60,0%,9,"Health and Fitness,Religion",,,
sixty.tube,available,60,13%,5,Mathematics,,,
clxv.tube,available,60,1%,4,Mathematics,,,
cxxv.tube,available,60,1%,4,Mathematics,,,
cxxxv.tube,available,60,2%,5,Mathematics,,,
annexal.tube,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
adnexal.tube,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
cxx.tube,available,60,10%,3,Mathematics,,,
cxv.tube,available,60,4%,3,Mathematics,,,
eightysix.tube,available,60,7%,10,Mathematics,,,
idolized.tube,available,60,3%,8,"Entertainment,Fashion,Retail",,,
idolised.tube,available,60,1%,8,"Entertainment,Fashion,Retail",,,
cxlv.tube,available,60,2%,4,Mathematics,,,
acceptive.tube,available,60,1%,9,"Education,Healthcare",,,
clxxv.tube,available,60,1%,5,Mathematics,,,
cxxx.tube,available,60,4%,4,Mathematics,,,
clxx.tube,available,60,3%,4,Mathematics,,,
abashed.tube,available,60,1%,7,Humanities,,,
thou.tube,available,60,7%,4,Mathematics,,,
aboveboard.tube,available,60,5%,10,"Business,Law",,,
paunchy.tube,available,60,0%,7,"Health and Fitness,Medicine",,,
clxxx.tube,available,60,1%,5,Mathematics,,,
cautionary.tube,available,60,1%,10,"Business,Education,Healthcare",,,
tertiary.tube,available,60,4%,8,Education,,,
adnate.tube,available,60,1%,6,"Agriculture,Manufacturing,Retail",,,
xcl.tube,available,60,5%,3,Mathematics,,,
abstemious.tube,available,60,0%,10,"Food and Beverage,Health and Fitness,Hospitality",,,
clx.tube,available,60,10%,3,Mathematics,,,
cxl.tube,available,60,7%,3,Mathematics,,,
tercet.tube,available,59,2%,6,"Arts,Entertainment,Media",,,
hexad.tube,available,58,4%,5,Mathematics,,,
fifth.tube,available,58,12%,5,Mathematics,,,
aucourant.tube,available,58,3%,10,"Fashion,Media",,,
twelfth.tube,available,58,2%,7,Mathematics,,,
octad.tube,available,58,5%,5,Mathematics,,,
alacarte.tube,available,58,11%,10,Food and Beverage,,,
lxxviii.tube,available,58,1%,7,Mathematics,,,
closeto.tube,available,58,3%,8,"Business,Media,Technology",,,
justabout.tube,available,58,3%,10,"Business,Media,Technology",,,
abused.tube,available,58,5%,6,"Healthcare,Law",,,
accoutred.tube,available,58,1%,9,"Fashion,Manufacturing,Retail",,,
accented.tube,available,58,3%,8,"Arts,Entertainment",,,
addressed.tube,available,58,3%,9,"Business,Technology,Telecommunications",,,
ache.tube,available,58,7%,4,Healthcare,,,
fourscore.tube,available,58,4%,9,Mathematics,,,
sixtyone.tube,available,58,3%,9,Mathematics,,,
sixer.tube,available,58,5%,5,Sports,,,
acetic.tube,available,58,1%,6,"Food and Beverage,Science",,,
heptad.tube,available,58,1%,6,Mathematics,,,
acyclic.tube,available,58,4%,7,"Engineering,Mathematics,Science",,,
tetrad.tube,available,58,5%,6,Mathematics,,,
enwrapped.tube,available,58,0%,9,"Entertainment,Fashion,Media",,,
abuzz.tube,available,58,5%,5,"Entertainment,Media,Technology",,,
abandoned.tube,available,58,10%,9,"Construction,Real Estate",,,
centesimal.tube,available,58,1%,10,Mathematics,,,
adjustive.tube,available,58,1%,9,"Manufacturing,Retail,Technology",,,
quintet.tube,available,58,8%,7,"Arts,Entertainment",,,
actuarial.tube,available,58,8%,9,"Finance,Insurance,Mathematics",,,
eighter.tube,available,58,2%,7,Mathematics,,,
linear.tube,available,58,22%,6,"Engineering,Mathematics,Science",,,
pentad.tube,available,58,2%,6,Mathematics,,,
cypher.tube,available,58,29%,6,Mathematics,,,
seventy.tube,available,58,7%,7,Mathematics,,,
fourth.tube,available,58,13%,6,Mathematics,,,
niner.tube,available,58,5%,5,Mathematics,,,
sextuplet.tube,available,58,1%,9,Healthcare,,,
adhoc.tube,available,58,24%,6,"Business,Engineering,Technology",,,
adient.tube,available,58,4%,6,"Medicine,Science",,,
offhanded.tube,available,58,1%,9,Entertainment,,,
abridged.tube,available,58,4%,8,Media,,,
addible.tube,available,58,2%,7,"Engineering,Mathematics,Science",,,
lxxx.tube,available,58,2%,4,Mathematics,,,
accretive.tube,available,58,6%,9,"Banking,Finance,Insurance",,,
accoutered.tube,available,56,0%,10,"Fashion,Manufacturing,Retail",,,
admissive.tube,available,56,1%,9,"Education,Healthcare,Hospitality",,,
fiftynine.tube,available,56,4%,10,Mathematics,,,
xxvii.tube,available,56,3%,5,Mathematics,,,
xlvi.tube,available,56,3%,4,Mathematics,,,
xlviii.tube,available,56,1%,6,Mathematics,,,
thirtyone.tube,available,56,5%,10,Mathematics,,,
admittible.tube,available,56,1%,10,"Education,Healthcare,Hospitality",,,
addled.tube,available,56,2%,6,Entertainment,,,
appressed.tube,available,56,0%,9,"Agriculture,Manufacturing,Retail",,,
fiftysix.tube,available,56,4%,9,Mathematics,,,
aone.tube,available,56,15%,5,Food and Beverage,,,
fortytwo.tube,available,56,17%,9,Mathematics,,,
fiftyone.tube,available,56,7%,9,Mathematics,,,
thirtysix.tube,available,56,5%,10,Mathematics,,,
xliii.tube,available,56,1%,5,Mathematics,,,
lviii.tube,available,56,1%,5,Mathematics,,,
xxviii.tube,available,56,1%,6,Mathematics,,,
terzetto.tube,available,56,3%,8,Arts,,,
xlvii.tube,available,56,2%,5,Mathematics,,,
fortynine.tube,available,56,3%,10,Mathematics,,,
fortysix.tube,available,56,3%,9,Mathematics,,,
xlv.tube,available,56,6%,3,Mathematics,,,
xxxvi.tube,available,56,1%,5,Mathematics,,,
xlii.tube,available,56,5%,4,Mathematics,,,
xxiv.tube,available,56,5%,4,Mathematics,,,
liii.tube,available,56,4%,4,Mathematics,,,
potbellied.tube,available,56,0%,10,"Health and Fitness,Medicine",,,
xxxviii.tube,available,56,1%,7,Mathematics,,,
xxxvii.tube,available,56,2%,6,Mathematics,,,
maledict.tube,available,56,1%,8,Religion,,,
fiftyfive.tube,available,56,7%,10,Mathematics,,,
xxiii.tube,available,56,5%,5,Mathematics,,,
xxxiv.tube,available,56,1%,5,Mathematics,,,
xxxii.tube,available,56,1%,5,Mathematics,,,
fiftyfour.tube,available,56,3%,10,Mathematics,,,
xxxiii.tube,available,56,2%,6,Mathematics,,,
fortyone.tube,available,56,4%,9,Mathematics,,,
halfdozen.tube,available,56,1%,10,Mathematics,,,
admittable.tube,available,56,1%,10,"Education,Healthcare,Hospitality",,,
ilx.tube,available,56,5%,3,Mathematics,,,
xxix.tube,available,56,4%,4,Mathematics,,,
lvii.tube,available,56,1%,4,Mathematics,,,
fiftytwo.tube,available,56,6%,9,Mathematics,,,
xli.tube,available,56,5%,3,Mathematics,,,
lvi.tube,available,56,8%,3,Mathematics,,,
xliv.tube,available,56,2%,4,Mathematics,,,
triad.tube,available,56,15%,5,Arts,,,
thirtytwo.tube,available,56,5%,10,Mathematics,,,
abdominous.tube,available,56,0%,10,"Health and Fitness,Medicine",,,
lii.tube,available,56,7%,3,Mathematics,,,
abeyant.tube,available,56,1%,7,"Business,Law",,,
xxxv.tube,available,56,4%,4,Mathematics,,,
fin.tube,available,54,30%,3,Finance,,,
abhorrent.tube,available,54,1%,9,Humanities,,,
admonitory.tube,available,54,0%,10,"Business,Education,Healthcare",,,
unnatural.tube,available,54,4%,9,"Medicine,Science",,,
sise.tube,available,54,5%,4,Mathematics,,,
monitory.tube,available,54,3%,8,"Business,Education,Healthcare",,,
aboral.tube,available,54,2%,6,Science,,,
adducting.tube,available,54,1%,9,"Engineering,Mathematics,Science",,,
deuceace.tube,available,54,2%,9,Sports,,,
deserted.tube,available,54,3%,8,"Hospitality,Real Estate",,,
adjuratory.tube,available,54,0%,10,"Law,Politics,Religion",,,
quintuplet.tube,available,54,1%,10,"Healthcare,Medicine,Science",,,
abatable.tube,available,54,1%,8,Law,,,
twoscore.tube,available,54,2%,8,Mathematics,,,
adaxial.tube,available,54,2%,7,Science,,,
quaternion.tube,available,54,6%,10,Mathematics,,,
acoustical.tube,available,54,4%,10,Science,,,
quatern.tube,available,54,2%,7,Mathematics,,,
achy.tube,available,54,3%,4,Healthcare,,,
adpressed.tube,available,54,0%,9,"Agriculture,Manufacturing,Retail",,,
viii.tube,available,54,6%,4,Mathematics,,,
abatic.tube,available,54,1%,6,Science,,,
ternion.tube,available,54,3%,7,Mathematics,,,
topnotch.tube,available,54,18%,8,Business,,,
quaternity.tube,available,54,4%,10,Mathematics,,,
abaxial.tube,available,54,1%,7,Science,,,
actuated.tube,available,54,2%,8,"Automotive,Manufacturing,Technology",,,
accursed.tube,available,54,3%,8,"Entertainment,Media,Religion",,,
abasic.tube,available,54,1%,6,Science,,,
quadruplet.tube,available,54,1%,10,"Healthcare,Medicine,Science",,,
vii.tube,available,54,13%,3,Mathematics,,,
abient.tube,available,54,1%,6,Science,,,
adductive.tube,available,54,0%,9,"Engineering,Mathematics,Science",,,
scratchy.tube,available,54,3%,8,Fashion,,,
fortyfive.tube,available,54,4%,10,Mathematics,,,
adducent.tube,available,54,1%,8,"Engineering,Mathematics,Science",,,
achromatic.tube,available,54,4%,10,Science,,,
